&METADATA_NAMELIST
startdate = "200704010000"
enddate = "201012310000"
loop_for_a_while = 0
output_dir = ""
Latitude = 33.02
Longitude = 91.96
Forcing_Timestep = 86400
Noahlsm_Timestep = 86400
Sea_ice_point = .FALSE.
Soil_layer_thickness = 0.045 0.046 0.075 0.123 0.204 0.336 0.371 0.3 0.5 0.5 0.7 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0
Soil_Temperature = 273.4 271.6 271.2 270.8 270.2 269.4 268.7 268.4 267.5 268.5 270.5 271.0 271.4 271.6 271.7 271.8 271.8 271.9 271.8 271.9
Soil_Moisture = 0.104 0.22 0.247 0.222 0.276 0.247 0.238 0.223 0.205 0.169 0.337 0.337 0.337 0.094 0.109 0.121 0.131 0.15 0.164 0.173
Soil_Liquid = 0.104 0.099 0.104 0.084 0.052 0.03 0.003 0.01 0.031 0.057 0.035 0.039 0.042 0.016 0.017 0.018 0.019 0.021 0.023 0.024
Soil_htype = 7 7 7 7 9 7 7 7 7 7 12 12 12 13 13 13 13 13 13 13
Skin_Temperature = 271.241
Canopy_water = 0
Snow_depth = 0
Snow_equivalent = 0
Deep_Soil_Temperature = 272.43
Landuse_dataset = "USGS"
Soil_type_index = 3
Vegetation_type_index = 9
Urban_veg_category = 1
glacial_veg_category = 24
Slope_type_index = 3
Max_snow_albedo = 0.75
Air_temperature_level = 2.0
Wind_level = 10.0
Green_Vegetation_Min = 0.01
Green_Vegetation_Max = 0.96
Usemonalb = .FALSE.
Rdlai2d = .FALSE.
sfcdif_option = 1
iz0tlnd = 0
Albedo_monthly = 0.18 0.17 0.16 0.15 0.15 0.15 0.15 0.16 0.16 0.17 0.17 0.18
Shdfac_monthly = 0.01 0.02 0.07 0.17 0.27 0.58 0.93 0.96 0.65 0.24 0.11 0.02
lai_monthly = 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0
Z0brd_monthly = 0.02 0.02 0.025 0.03 0.035 0.036 0.035 0.03 0.027 0.025 0.02 0.02
/
------------------------------------------------------------------------------------------------------------------------------------------------------------
 UTC date/time        windspeed       wind dir         temperature      humidity        pressure           shortwave      longwave          precipitation
yyyy mm dd hh mi       m s{-1}        degrees               K               %             hPa               W m{-2}        W m{-2}          kg m{-2} s{-1}
------------------------------------------------------------------------------------------------------------------------------------------------------------
<Forcing>  This tag ("<Forcing>", not case sensitive) begins the section of forcing data.  The times have been converted from CST to UTC
2009 01 14 00 00     4.0762473437   249.0000000000   257.9912442353    62.5004749810   543.4400000000   181.5937500000   164.7812500000 0.0000005211437626
2009 01 15 00 00     3.1622473003   249.0000000000   259.4974942016    36.1950084186   543.4400000000   173.3750000000   170.9375000000 0.0000000003104409
2009 01 16 00 00     3.4762473153   249.0000000000   262.1049941434    27.5733621573   543.4400000000   171.5312500000   178.4062500000 0.0000000003104409
2009 01 17 00 00     3.9054973356   249.0000000000   262.5912441325    28.5535284799   543.4400000000   163.7187500000   184.7500000000 0.0000000003104409
2009 01 18 00 00     4.4427473612   249.0000000000   260.7124941745    42.2616289275   543.4400000000   159.2500000000   183.3125000000 0.0000000003104409
2009 01 19 00 00     5.1104973929   249.0000000000   264.0537440998    57.2029870253   543.4400000000   155.0937500000   196.7812500000 0.0000007815604234
2009 01 20 00 00     4.4434973612   249.0000000000   260.4987441793    37.0293974428   543.4400000000   140.4375000000   192.4375000000 0.0000000003104409
2009 01 21 00 00     4.1077473453   249.0000000000   260.9649941689    38.7349831297   543.4400000000   180.5000000000   172.2500000000 0.0000000003104409
2009 01 22 00 00     5.3247474031   249.0000000000   264.4862440901    26.4339685324   543.4400000000   167.2187500000   190.7812500000 0.0000000003104409
2009 01 23 00 00     4.8339973798   249.0000000000   261.9399941470    52.1374797872   543.4400000000   145.2187500000   196.4375000000 0.0000000003104409
2009 01 24 00 00     5.6162474169   249.0000000000   263.9749941016    49.3776162551   543.4400000000   151.6562500000   201.5937500000 0.0000000003104409
2009 01 25 00 00     6.3684974526   249.0000000000   265.9474940575    56.8606116594   543.4400000000   129.7812500000   219.8437500000 0.0000039065603536
2009 01 26 00 00     5.0552473903   249.0000000000   261.5037441568    40.6385387145   543.4400000000   171.5000000000   182.7187500000 0.0000002607271017
2009 01 27 00 00     3.8812473345   249.0000000000   260.7562441735    27.9453406318   543.4400000000   169.4375000000   181.4062500000 0.0000000003104409
2009 01 28 00 00     3.5482473187   249.0000000000   258.0899942331    34.5889230959   543.4400000000   159.2500000000   178.7812500000 0.0000000003104409
2009 01 29 00 00     2.5417472709   249.0000000000   259.0474942117    26.8646577989   543.4400000000   201.3125000000   165.3437500000 0.0000000003104409
2009 01 30 00 00     3.1237472985   249.0000000000   260.7349941740    22.4153793038   543.4400000000   173.5000000000   182.6562500000 0.0000000003104409
2009 01 31 00 00     2.3139972600   249.0000000000   260.1449941872    35.9647320815   543.4400000000   177.2187500000   181.3125000000 0.0000000003104409
2009 02 01 00 00     2.4199972651   249.0000000000   258.7387442186    20.1356684309   543.0200000000   203.8437500000   163.3125000000 0.0000000003104409
2009 02 02 00 00     3.0137472933   249.0000000000   259.4637442024    15.7126118028   543.0200000000   186.2812500000   173.6250000000 0.0000004343382090
2009 02 03 00 00     2.5722472723   249.0000000000   259.3612442047    21.4687748019   543.0200000000   194.9687500000   171.3750000000 0.0000000003104409
2009 02 04 00 00     4.4079973595   249.0000000000   257.7449942408    22.7028768535   543.0200000000   201.7812500000   163.7187500000 0.0000000003104409
2009 02 05 00 00     3.2497473045   249.0000000000   259.4674942023    18.7676339704   543.0200000000   213.1562500000   165.0937500000 0.0000002607271017
2009 02 06 00 00     4.0984973448   249.0000000000   259.8099941947    12.7273313350   543.0200000000   215.1250000000   165.7187500000 0.0000000003104409
2009 02 07 00 00     4.3932473588   249.0000000000   260.2412441850    12.5939352988   543.0200000000   215.3125000000   166.7500000000 0.0000000003104409
2009 02 08 00 00     2.9092472883   249.0000000000   259.7024941971    16.7065472891   543.0200000000   217.3437500000   166.5625000000 0.0000000003104409
2009 02 09 00 00     3.5217473174   249.0000000000   258.7387442186    27.5851636290   543.0200000000   218.6250000000   163.5312500000 0.0000000003104409
2009 02 10 00 00     3.3672473101   249.0000000000   261.1424941649    23.3600719170   543.0200000000   221.5625000000   170.4375000000 0.0000000003104409
2009 02 11 00 00     7.0362474843   249.0000000000   264.8099940829    20.9606962114   543.0200000000   196.6562500000   193.7187500000 0.0000000003104409
2009 02 12 00 00     6.2554974473   249.0000000000   262.6887441303    44.0874177361   543.0200000000   195.1562500000   188.5937500000 0.0000000003104409
2009 02 13 00 00     6.0222474362   249.0000000000   263.6762441082    21.4379690716   543.0200000000   164.3437500000   204.8125000000 0.0000000003104409
2009 02 14 00 00     5.1999973971   249.0000000000   265.0662440772    23.0539200771   543.0200000000   207.9062500000   191.1562500000 0.0000000003104409
2009 02 15 00 00     4.4274973604   249.0000000000   262.4049941367    16.2146013433   543.0200000000   209.9687500000   182.0937500000 0.0000000003104409
2009 02 16 00 00     4.8717473815   249.0000000000   263.9749941016    15.4737403629   543.0200000000   220.8125000000   181.8750000000 0.0000000003104409
2009 02 17 00 00     7.2712474955   249.0000000000   264.9949940787    14.1754620297   543.0200000000   217.5937500000   188.2500000000 0.0000000003104409
2009 02 18 00 00     6.7042474686   249.0000000000   262.9387441247    16.8208825395   543.0200000000   157.9062500000   204.4687500000 0.0000000003104409
2009 02 19 00 00     4.8054973784   249.0000000000   259.7637441957    33.2887526764   543.0200000000   172.0937500000   192.0000000000 0.0000000003104409
2009 02 20 00 00     5.4684974099   249.0000000000   262.6712441307    11.5198304208   543.0200000000   224.2500000000   181.3125000000 0.0000004343382090
2009 02 21 00 00     5.2907474014   249.0000000000   261.0862441661    42.8159925738   543.0200000000   192.5312500000   190.7812500000 0.0000000003104409
2009 02 22 00 00     5.7579974236   249.0000000000   258.8412442163    17.3875968675   543.0200000000   159.4687500000   193.6562500000 0.0000003475326554
2009 02 23 00 00     4.0059973404   249.0000000000   260.3424941828    34.1081757664   543.0200000000   170.4375000000   197.5000000000 0.0000014760048523
2009 02 24 00 00     1.8999972404   249.0000000000   259.2537442071    66.9694080948   543.0200000000   153.3437500000   201.2812500000 0.0000017364215132
2009 02 25 00 00     3.1379972992   249.0000000000   258.8262442166    47.0860233656   543.0200000000   148.4687500000   202.7187500000 0.0000050350325505
2009 02 26 00 00     3.0419972946   249.0000000000   258.5299942233    53.2180307445   543.0200000000   187.4375000000   187.9062500000 0.0000015628104059
2009 02 27 00 00     2.7079972788   249.0000000000   259.6137441990    57.7211332838   543.0200000000   195.7812500000   188.8125000000 0.0000008683659770
2009 02 28 00 00     4.0427473422   249.0000000000   259.2099942081    39.7554513061   543.0200000000   150.5937500000   203.2812500000 0.0000024308659421
2009 03 01 00 00     4.3007473544   249.0000000000   255.3912442934    43.6192413444   545.1400000000   173.0312500000   183.1875000000 0.0000002607271017
2009 03 02 00 00     6.2252474458   249.0000000000   260.9574941690    30.3921028303   545.1400000000   207.7500000000   188.6562500000 0.0000000003104409
2009 03 03 00 00     4.4632473621   249.0000000000   264.4899940901    23.0458903729   545.1400000000   233.8437500000   191.0000000000 0.0000000003104409
2009 03 04 00 00     5.5512474138   249.0000000000   263.8449941045    42.4234562146   545.1400000000   164.3750000000   216.5937500000 0.0000000003104409
2009 03 05 00 00     5.9842474344   249.0000000000   264.7949940832    24.5227207126   545.1400000000   198.9375000000   205.0625000000 0.0000000003104409
2009 03 06 00 00     7.7137475165   249.0000000000   266.5399940442     6.7136715924   545.1400000000   258.6250000000   187.2812500000 0.0000000003104409
2009 03 07 00 00     6.9269974792   249.0000000000   267.1862440298    28.8099735784   545.1400000000   223.7812500000   206.5625000000 0.0000010419770843
2009 03 08 00 00     4.6452473708   249.0000000000   265.0662440772    19.1519199451   545.1400000000   260.5937500000   184.3125000000 0.0000003475326554
2009 03 09 00 00     9.2464975893   249.0000000000   267.4799940232    13.0314576984   545.1400000000   239.8125000000   200.0937500000 0.0000000003104409
2009 03 10 00 00     7.5962475110   249.0000000000   266.5474940441    12.1324591829   545.1400000000   278.0312500000   184.0937500000 0.0000000003104409
2009 03 11 00 00     7.0964974872   249.0000000000   259.6674941978    36.5746950000   545.1400000000   209.3437500000   190.1875000000 0.0000002607271017
2009 03 12 00 00     7.9539975280   249.0000000000   256.7074942640    21.5637270811   545.1400000000   258.5312500000   166.3125000000 0.0000009551715306
2009 03 13 00 00     3.8589973334   249.0000000000   262.6562441311    11.8437354666   545.1400000000   283.8437500000   173.0937500000 0.0000000003104409
2009 03 14 00 00     4.2569973523   249.0000000000   265.7337440623    16.0504603888   545.1400000000   264.1250000000   191.2500000000 0.0000000003104409
2009 03 15 00 00     2.3647472624   249.0000000000   265.6024940652    22.7718181147   545.1400000000   243.2812500000   198.5625000000 0.0000013891992987
2009 03 16 00 00     1.9559972431   249.0000000000   265.2799940724    40.0674301167   545.1400000000   177.9687500000   222.1250000000 0.0000025176714957
2009 03 17 00 00     1.3657472150   249.0000000000   263.0324941227    70.0314133832   545.1400000000   204.1250000000   207.0000000000 0.0000032989214783
2009 03 18 00 00     1.6019972262   249.0000000000   265.7762440613    51.7482748345   545.1400000000   233.1875000000   208.1250000000 0.0000182294767001
2009 03 19 00 00     2.1494972522   249.0000000000   263.6174941095    66.1768451224   545.1400000000   206.8750000000   209.6875000000 0.0000006079493162
2009 03 20 00 00     2.2379972564   249.0000000000   263.9587441019    67.2910608873   545.1400000000   205.5937500000   211.7187500000 0.0000006947548698
2009 03 21 00 00     3.5304973178   249.0000000000   266.1337440533    44.9462085825   545.1400000000   250.0000000000   204.3125000000 0.0000021704492812
2009 03 22 00 00     5.4372474084   249.0000000000   264.5099940896    39.4680099670   545.1400000000   221.8750000000   207.0625000000 0.0000000003104409
2009 03 23 00 00     1.7604972338   249.0000000000   265.2687440726    42.3336648817   545.1400000000   290.4062500000   188.9375000000 0.0000000003104409
2009 03 24 00 00     1.6277472275   249.0000000000   267.1587440304    42.1822561724   545.1400000000   244.0312500000   210.9062500000 0.0000000871159945
2009 03 25 00 00     2.2559972573   249.0000000000   265.9112440583    66.1130020144   545.1400000000   227.1562500000   214.0937500000 0.0000009551715307
2009 03 26 00 00     3.1244972986   249.0000000000   266.6449940419    66.3714066666   545.1400000000   244.6875000000   212.8437500000 0.0000093753102313
2009 03 27 00 00     4.5352473656   249.0000000000   263.8424941045    59.8602883427   545.1400000000   210.3125000000   211.8125000000 0.0000107641990891
2009 03 28 00 00     2.3882472636   249.0000000000   265.1124940761    55.5523693782   545.1400000000   257.9687500000   203.0000000000 0.0000032989214783
2009 03 29 00 00     4.2784973534   249.0000000000   263.7799941059    60.7924840728   545.1400000000   268.5312500000   196.4687500000 0.0000030385048174
2009 03 30 00 00     2.4602472670   249.0000000000   263.6424941090    67.6309451094   545.1400000000   216.8750000000   210.9062500000 0.0000164065600741
2009 03 31 00 00     1.9367472422   249.0000000000   263.0824941215    70.5041898361   545.1400000000   195.1562500000   216.0625000000 0.0000069447547301
2009 04 01 00 00     4.8064973784   249.0000000000   265.8099940605    33.9466319361   548.2200000000   286.4687500000   196.6250000000 0.0000034725325855
2009 04 02 00 00     5.4382474084   249.0000000000   268.7499939948    37.9157336731   548.2200000000   259.4687500000   216.3125000000 0.0000006947548698
2009 04 03 00 00     4.1614973478   249.0000000000   270.8062439489    28.2269172010   548.2200000000   278.6250000000   215.0625000000 0.0000023440603885
2009 04 04 00 00     3.5804973202   249.0000000000   268.7812439941    37.8922842802   548.2200000000   281.6250000000   210.5000000000 0.0000000003104409
2009 04 05 00 00     3.3142473076   249.0000000000   263.7912441057    44.5381239951   548.2200000000   274.9062500000   194.4687500000 0.0000000003104409
2009 04 06 00 00     2.1682472532   249.0000000000   268.2987440049    32.1621798285   548.2200000000   304.0625000000   201.2500000000 0.0000012155881915
2009 04 07 00 00     3.1237472985   249.0000000000   267.4987440228    61.4026139919   548.2200000000   218.9375000000   226.5937500000 0.0000225697543809
2009 04 08 00 00     4.5034973641   249.0000000000   266.9699940346    31.6339882400   548.2200000000   280.5312500000   204.3437500000 0.0000004343382090
2009 04 09 00 00     2.8447472853   249.0000000000   268.4287440020    55.4690524383   548.2200000000   272.4375000000   216.0937500000 0.0000132815601440
2009 04 10 00 00     3.3132473075   249.0000000000   266.9424940352    75.8357291664   548.2200000000   163.6250000000   242.7500000000 0.0000363718374057
2009 04 11 00 00     4.1094973453   249.0000000000   265.6124940650    65.3278772598   548.2200000000   233.5625000000   217.4687500000 0.0000059898936403
2009 04 12 00 00     2.6237472748   249.0000000000   265.1649940750    47.4501517363   548.2200000000   323.3750000000   189.8125000000 0.0000002607271017
2009 04 13 00 00     4.6039973688   249.0000000000   270.2437439614    43.3032999101   548.2200000000   297.7500000000   216.6250000000 0.0000062503103012
2009 04 14 00 00     3.0309972941   249.0000000000   269.7724939720    45.1557737065   548.2200000000   276.9062500000   220.1875000000 0.0000000003104409
2009 04 15 00 00     2.1407472519   249.0000000000   271.7949939268    41.2549020551   548.2200000000   325.8750000000   212.6875000000 0.0000007815604234
2009 04 16 00 00     5.2162473979   249.0000000000   274.2237438725    28.0952179752   548.2200000000   306.9062500000   225.5937500000 0.0000006947548698
2009 04 17 00 00     3.9359973371   249.0000000000   271.1999939400    51.7680443840   548.2200000000   269.1562500000   229.0312500000 0.0000038197547999
2009 04 18 00 00     3.0337472942   249.0000000000   269.0062439891    52.4750272362   548.2200000000   281.8125000000   217.9062500000 0.0000000003104409
2009 04 19 00 00     2.5484972712   249.0000000000   270.8512439479    31.5857652792   548.2200000000   322.6250000000   210.3437500000 0.0000000003104409
2009 04 20 00 00     3.2682473054   249.0000000000   270.7074939511    39.9203894943   548.2200000000   317.9062500000   213.8437500000 0.0000000003104409
2009 04 21 00 00     3.5157473171   249.0000000000   271.8987439245    33.8737955946   548.2200000000   319.3750000000   215.9375000000 0.0000000003104409
2009 04 22 00 00     4.7837473774   249.0000000000   272.2449939167    30.4571646314   548.2200000000   325.4375000000   216.0312500000 0.0000000003104409
2009 04 23 00 00     6.3037474496   249.0000000000   273.7612438828    18.6872211861   548.2200000000   335.9375000000   216.0625000000 0.0000000003104409
2009 04 24 00 00     4.1329973464   249.0000000000   272.2887439157    23.4378152265   548.2200000000   354.4687500000   206.0312500000 0.0000000003104409
2009 04 25 00 00     4.7732473769   249.0000000000   272.4762439115    17.2371952512   548.2200000000   343.7500000000   209.9062500000 0.0000000003104409
2009 04 26 00 00     6.3624974524   249.0000000000   273.3987438909    12.6333243692   548.2200000000   344.7812500000   211.5000000000 0.0000000003104409
2009 04 27 00 00     2.6147472743   249.0000000000   271.5587439321    28.2287039754   548.2200000000   297.3437500000   223.4062500000 0.0000000003104409
2009 04 28 00 00     1.7832472349   249.0000000000   271.1237439418    30.2480184239   548.2200000000   289.0312500000   225.6250000000 0.0000000003104409
2009 04 29 00 00     3.1504972998   249.0000000000   274.5662438648    27.1778679379   548.2200000000   288.5937500000   237.3437500000 0.0000005211437626
2009 04 30 00 00     2.2574972574   249.0000000000   272.3224939150    34.0532499574   548.2200000000   363.4687500000   209.0000000000 0.0000000003104409
2009 05 01 00 00     2.7937472828   249.0000000000   269.8824939695    29.3207146046   550.2200000000   308.6562500000   215.1875000000 0.0000040801714608
2009 05 02 00 00     1.7759972345   249.0000000000   273.1662438961    19.2064467168   550.2200000000   327.5312500000   220.5000000000 0.0000231773932562
2009 05 03 00 00     2.9427472899   249.0000000000   272.6824939069    66.2301562728   550.2200000000   258.5937500000   246.4687500000 0.0000077260047126
2009 05 04 00 00     2.2732472581   249.0000000000   272.4374939124    65.4167873986   550.2200000000   265.0625000000   243.7812500000 0.0000126739212687
2009 05 05 00 00     2.5647472720   249.0000000000   273.3524938920    53.8425390785   550.2200000000   309.9062500000   232.7187500000 0.0000031253103710
2009 05 06 00 00     2.8004972831   249.0000000000   274.2162438727    56.0182201252   550.2200000000   323.7500000000   233.8437500000 0.0000034725325855
2009 05 07 00 00     3.6039973213   249.0000000000   273.2912438933    41.1238319909   550.2200000000   346.8437500000   219.8750000000 0.0000151912823236
2009 05 08 00 00     4.7334973750   249.0000000000   273.0674938983    35.2425360637   550.2200000000   305.7812500000   230.6875000000 0.0000067711436229
2009 05 09 00 00     3.2707473055   249.0000000000   273.2162438950    32.5630295424   550.2200000000   322.5625000000   226.9687500000 0.0000355037818696
2009 05 10 00 00     4.8814973820   249.0000000000   269.2474939837    72.8662344471   550.2200000000   167.6250000000   256.2187500000 0.0001141496134450
2009 05 11 00 00     3.4612473146   249.0000000000   269.5387439772    79.1096617672   550.2200000000   257.7187500000   236.3437500000 0.0000649308645451
2009 05 12 00 00     4.3832473583   249.0000000000   268.2662440057    87.4117487150   550.2200000000   256.0625000000   232.7187500000 0.0000317711430641
2009 05 13 00 00     1.9827472443   249.0000000000   265.8499940596    88.7895066845   550.2200000000   145.0625000000   248.8437500000 0.0000593753091137
2009 05 14 00 00     2.6359972754   249.0000000000   266.4037440473    76.3042342443   550.2200000000   263.8125000000   222.5625000000 0.0000034725325855
2009 05 15 00 00     3.5207473174   249.0000000000   269.0512439881    68.8178604720   550.2200000000   306.6562500000   221.7812500000 0.0000046878103361
2009 05 16 00 00     3.2019973022   249.0000000000   270.1462439636    66.8657580343   550.2200000000   277.0625000000   232.8750000000 0.0000184898933609
2009 05 17 00 00     1.5349972230   249.0000000000   268.2737440055    70.4078523124   550.2200000000   213.9062500000   241.3125000000 0.0000208336433086
2009 05 18 00 00     4.5297473653   249.0000000000   267.9349940131    60.0310726732   550.2200000000   341.4687500000   207.3437500000 0.0000008683659770
2009 05 19 00 00     2.6349972753   249.0000000000   271.7212439284    53.5318060643   550.2200000000   358.4687500000   216.5312500000 0.0000043405881217
2009 05 20 00 00     3.5112473170   249.0000000000   276.3224938256    42.4470218922   550.2200000000   339.5625000000   238.4062500000 0.0000006079493162
2009 05 21 00 00     4.0347473418   249.0000000000   273.9637438783    67.9657134370   550.2200000000   304.6875000000   243.6875000000 0.0000200523933260
2009 05 22 00 00     2.0899972494   249.0000000000   273.0074938997    83.2379220113   550.2200000000   284.9375000000   246.9375000000 0.0000363718374057
2009 05 23 00 00     2.0092472456   249.0000000000   273.4724938893    81.5363838648   550.2200000000   227.1562500000   262.3125000000 0.0000934898916845
2009 05 24 00 00     3.7517473284   249.0000000000   272.6424939078    83.8227886075   550.2200000000   270.5625000000   248.1875000000 0.0000689239200114
2009 05 25 00 00     2.5332472705   249.0000000000   274.0074938773    85.6338435037   550.2200000000   192.8750000000   273.3750000000 0.0000338544763508
2009 05 26 00 00     4.4377473609   249.0000000000   275.7249938389    85.0145208342   550.2200000000   111.3125000000   301.2187500000 0.0000942711416671
2009 05 27 00 00     3.3609973098   249.0000000000   270.1112439644    85.5894292099   550.2200000000   200.5625000000   254.4062500000 0.0000808162808567
2009 05 28 00 00     4.0319973417   249.0000000000   268.8524939925    83.1256911504   550.2200000000   219.1875000000   244.9375000000 0.0000291669764556
2009 05 29 00 00     5.4714974100   249.0000000000   269.4049939802    88.2117183475   550.2200000000   124.7812500000   269.6875000000 0.0000306426708671
2009 05 30 00 00     3.6162473219   249.0000000000   269.6124939756    82.3997364580   550.2200000000   165.4375000000   260.3125000000 0.0001594621124322
2009 05 31 00 00     1.9944972449   249.0000000000   268.6624939968    91.4534687265   550.2200000000   102.0937500000   271.8437500000 0.0000606773924180
2009 06 01 00 00     2.6524972761   249.0000000000   270.5712439541    49.6981184159   551.1800000000   305.3125000000   227.3750000000 0.0000301218375454
2009 06 02 00 00     2.8094972836   249.0000000000   273.9424938788    44.9039603155   551.1800000000   376.5625000000   222.0312500000 0.0000018232270668
2009 06 03 00 00     2.8907472874   249.0000000000   274.0224938770    62.9793153517   551.1800000000   380.5625000000   225.1562500000 0.0000029516992638
2009 06 04 00 00     2.1019972500   249.0000000000   273.1724938960    80.7096885941   551.1800000000   319.8125000000   239.1562500000 0.0000127607268223
2009 06 05 00 00     2.6329972752   249.0000000000   275.2587438494    67.3653297495   551.1800000000   286.7812500000   254.6250000000 0.0000062503103012
2009 06 06 00 00     2.7412472804   249.0000000000   276.0824938309    68.2998224314   551.1800000000   323.1562500000   249.5937500000 0.0000548614203257
2009 06 07 00 00     3.1909973017   249.0000000000   276.5249938210    68.5643162353   551.1800000000   327.6250000000   250.4375000000 0.0000672746144927
2009 06 08 00 00     2.2507472571   249.0000000000   277.4362438007    66.5473038318   551.1800000000   271.3437500000   268.8750000000 0.0000210940599694
2009 06 09 00 00     3.4322473132   249.0000000000   277.5599937979    69.2784424203   551.1800000000   286.0937500000   266.1250000000 0.0000678822533680
2009 06 10 00 00     1.7909972352   249.0000000000   273.8349938812    81.7256118496   551.1800000000   199.6875000000   271.6562500000 0.0001089412802281
2009 06 11 00 00     3.0137472933   249.0000000000   272.6312439081    81.2237516490   551.1800000000   304.9375000000   240.8750000000 0.0000112850324109
2009 06 12 00 00     2.6269972749   249.0000000000   273.7674938827    83.1682974298   551.1800000000   325.8750000000   241.4687500000 0.0000173614211639
2009 06 13 00 00     2.6997472784   249.0000000000   274.6487438630    79.8253462573   551.1800000000   286.3750000000   254.3125000000 0.0000297746153309
2009 06 14 00 00     3.1157472981   249.0000000000   275.3999938462    76.7968196637   551.1800000000   290.5000000000   257.0000000000 0.0000485246149118
2009 06 15 00 00     3.7072473262   249.0000000000   275.6512438406    73.5396217074   551.1800000000   275.7812500000   261.0937500000 0.0000258683654183
2009 06 16 00 00     5.1707473957   249.0000000000   278.4524937780    67.7798491662   551.1800000000   342.7187500000   256.5937500000 0.0000033857270319
2009 06 17 00 00     5.2192473981   249.0000000000   280.2524937377    61.3429944046   551.1800000000   378.6562500000   253.1875000000 0.0000094621157850
2009 06 18 00 00     4.2519973521   249.0000000000   281.0649937196    51.4617968197   551.1800000000   373.6875000000   256.2187500000 0.0000072919769446
2009 06 19 00 00     3.8654973338   249.0000000000   281.5299937092    48.6828619289   551.1800000000   369.5625000000   257.6875000000 0.0000159725323061
2009 06 20 00 00     3.6589973239   249.0000000000   281.4824937102    53.6267042882   551.1800000000   374.2187500000   257.4375000000 0.0000012155881915
2009 06 21 00 00     1.9754972440   249.0000000000   280.3274937361    61.4491842553   551.1800000000   278.1875000000   280.0000000000 0.0001365454462777
2009 06 22 00 00     1.4432472187   249.0000000000   279.3499937579    73.4647157474   551.1800000000   293.5312500000   273.6250000000 0.0000390628095678
2009 06 23 00 00     3.1309972989   249.0000000000   280.1287437405    64.1915726940   551.1800000000   229.6562500000   292.0625000000 0.0000237850321315
2009 06 24 00 00     2.4712472675   249.0000000000   278.6362437739    71.0041675054   551.1800000000   265.6562500000   276.5625000000 0.0000583336424703
2009 06 25 00 00     3.2017473022   249.0000000000   278.6674937731    69.7252710830   551.1800000000   326.5937500000   261.8437500000 0.0000653648923132
2009 06 26 00 00     1.4072472170   249.0000000000   279.4724937552    70.8030002229   551.1800000000   314.5625000000   269.6875000000 0.0000490454482335
2009 06 27 00 00     1.7829972348   249.0000000000   279.0974937636    74.2996164025   551.1800000000   271.3125000000   278.6562500000 0.0001492190571056
2009 06 28 00 00     1.8602472385   249.0000000000   278.1174937854    77.8396274886   551.1800000000   278.8125000000   272.7500000000 0.0000435766983557
2009 06 29 00 00     1.5799972252   249.0000000000   277.0262438098    83.1897797810   551.1800000000   223.6250000000   281.4375000000 0.0000612850312933
2009 06 30 00 00     2.0989972499   249.0000000000   278.3987437792    82.5005060452   551.1800000000   283.7187500000   274.3125000000 0.0003212676643711
2009 07 01 00 00     3.8864973348   249.0000000000   279.1674937620    77.1688305861   552.5600000000   227.0312500000   290.1250000000 0.0000865454473953
2009 07 02 00 00     4.0017473402   249.0000000000   278.5399937760    81.5089074022   552.5600000000   277.6875000000   276.0312500000 0.0000566843369517
2009 07 03 00 00     4.1904973492   249.0000000000   280.1412437402    69.3835860273   552.5600000000   370.9375000000   257.3125000000 0.0000512155870739
2009 07 04 00 00     3.5857473205   249.0000000000   281.8587437018    60.8641801998   552.5600000000   360.5000000000   265.4375000000 0.0000144968378946
2009 07 05 00 00     2.9894972921   249.0000000000   280.6787437282    65.1561513703   552.5600000000   322.6875000000   270.7812500000 0.0000519100315028
2009 07 06 00 00     2.5564972716   249.0000000000   280.1212437407    68.5095877861   552.5600000000   297.5312500000   274.9375000000 0.0000502607259841
2009 07 07 00 00     3.0169972934   249.0000000000   280.5699937306    65.5919512761   552.5600000000   226.0312500000   294.8750000000 0.0000442711427846
2009 07 08 00 00     1.5237472225   249.0000000000   277.8949937904    81.9242948758   552.5600000000   143.9375000000   304.1875000000 0.0000272572542761
2009 07 09 00 00     0.7907471877   249.0000000000   278.3612437800    77.8932683317   552.5600000000   257.9375000000   277.8750000000 0.0000539065592360
2009 07 10 00 00     2.3697472627   249.0000000000   278.3212437809    79.4896669446   552.5600000000   289.5000000000   270.5625000000 0.0000638891979017
2009 07 11 00 00     2.2539972572   249.0000000000   276.8449938139    79.8742555158   552.5600000000   287.3125000000   264.0312500000 0.0000926218361484
2009 07 12 00 00     2.1749972534   249.0000000000   278.5274937763    73.3438972966   552.5600000000   306.6875000000   265.7500000000 0.0000399308651039
2009 07 13 00 00     1.8817472395   249.0000000000   278.1324937851    82.9072133384   552.5600000000   229.9687500000   284.7812500000 0.0000484378093582
2009 07 14 00 00     3.5957473210   249.0000000000   278.9062437678    77.8907821073   552.5600000000   200.0000000000   294.4375000000 0.0001656253067389
2009 07 15 00 00     4.1839973489   249.0000000000   278.7549937712    74.8096745230   552.5600000000   267.3125000000   276.6562500000 0.0001370662795994
2009 07 16 00 00     2.1624972529   249.0000000000   279.5074937544    75.9981843383   552.5600000000   277.6562500000   278.9062500000 0.0000232641988098
